14,bt_account__advised_super,91_Capabilities_S_P,Does the vaname have any features?,FAILED_RESPONSE,False,0.000,False,I am here to help you with using BT Panorama. Here are some examples of how I can assist,Example Disabled Response,View statements|Make a payment|Make a deposit|Get to know Panorama|Chat with consultant,,node0r9dlc1gw8yewtnfm0g436k6x15175029023153967a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:39.521529
15,bt_account__advised_super,Asgard_Migration,Asgard migration into Panorama,FAILED_RESPONSE,False,0.000,True,Example Response,"I can only chat in English for now. If you would prefer to speak to us in another language, call 1300 881 716 from 8:30am to 6.30pm, Monday to Friday (Sydney time) so we can assist you.",,,node01onr43b8956o2pu5hwhiumq7916175029023154067a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:40.741735
17,bt_account__advised_super,BT_SupermergerwithMercer,BT Super merger with Mercer,FAILED_RESPONSE,False,0.000,False,This query does not apply to this account type. Is there anything else I can help you with?,"For more information on Protect Your Super (PYS) and Putting Members Interests First (PMIF) legislation, please select the relevant button.",,PYS|PMIF,node01ra6ioruhcum0okzyqcbpvo6e18175029023154267a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:42.931876
18,bt_account__advised_super,ChatBotDown,Is the chat bot working?,CONTENT_MISMATCH,True,1.000,False,I might not be trained to answer your question just yet. Can you try asking again in another way or by using different words?,I might not be trained to answer your question just yet. Can you try asking again in another way or by using different words?,Talk to someone,,node01kkhap0b97flwtinhuf258n0j19175029023154367a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:43.877876
19,bt_account__advised_super,Client_Emulator,Emulate a clients view ,FAILED_RESPONSE,False,0.000,True,Example Response,Didn't quite get that. Try saying it another way.,,,node01cjcz2j0njkrl1s9shcsrb74dj20175029023154467a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:44.958607
25,bt_account__advised_super,Message-BT-Session-Start-Mobile,Welcome message for mobile,FAILED_RESPONSE,False,0.000,True,Hi. I'm here to assist you with using BT Panorama. Please use key words when chatting with me.,"I missed that. Rephrase it, please?",,,node0rj85c0eh19qfy33xtng17hsw26175029023155067a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:50.752144
26,bt_account__advised_super,Rollover_Out_Of_Account,Rollover_Out_Of_Account,FAILED_RESPONSE,False,0.050,False,"To complete a rollover out:  1. Navigate to 'Forms & requests’. 2. Select ‘Submit new request’ and go to 'Rollovers & withdrawals’. 3. For a partial rollover out, complete the 'Partial withdrawal' form.  For a full rollover out, complete the ‘Account closure’ form.",Would you like to rollover into or out of your Panorama account?,,Into account|Out of account,node0h710sfrn81491lkz0iuqrgnom27175029023155167a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:52.384107
27,bt_account__advised_super,Rollover_into_account,Rollover_into_account,FAILED_RESPONSE,False,0.179,False,You can request a rollover into your super account via 'Find your super’ on the navigation menu.   Select the 'Go to page' button.,Would you like to rollover into or out of your Panorama account?,Go to page,Into account|Out of account,node0vb4hjk3d5oe7omp3hnykl5mn28175029023155267a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:53.481779
29,bt_account__advised_super,WLIS_Class_action,WLIS Class action,FAILED_RESPONSE,False,0.130,False,We are limited by the Court’s rules in what we can say to you about the Class Action and the document you have received. I can direct you to our website for some further information about the notice.,"I can only chat in English for now. If you would prefer to speak to us in another language, call 1300 881 716 from 8:30am to 6.30pm, Monday to Friday (Sydney time) so we can assist you.",WLIS Class Action,,node013pdg4psurs9c15j2oo42z00jw30175029023155467a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:50:55.425910
34,bt_account__advised_super,bt_all_other_contact_details,Amend all other contact details option,FAILED_RESPONSE,False,0.000,False,Example Response,Which contact details would you like to update?,,Mobile number|All other details,node0te0c0qpi6y93pfnmmrntw0rc35175029023155967a7aaaf-b244-4fd3-b3dd-bd50d1662676,,2025-06-19T10:51:00.476743
