active,created_date,id,intent_name,notes,scope,source,tags,trigger_sentence,type,updated_date
True,2021-03-11T13:37:39,d36b0dd6-99c5-4167-b1ae-d2b6a51085c6,bt_submit_form,,seed,variant,['nid_05-2021'],Where can i upload this form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,a2745a2f-c5e8-4ef8-8d4d-f86c39cf0353,bt_submit_form,,seed,variant,['nid_05-2021'],How do i send this form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,06cca4a4-1cf1-45c7-be2d-0f0a2c64cebc,bt_submit_form,,seed,variant,['nid_05-2021'],Hi i have a pension reset form to submit for a client which is the best way to do this please,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,7b0b03f2-379a-444f-8b14-e007a2568d79,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",Can we do email,TRIGGER,2021-05-21T10:03:45
True,2024-06-27T06:26:59,cf4121ae-b01b-4635-a944-7711ee788230,bt_submit_form,,seed,variant,['data_sync_addition'],submit forms,TRIGGER,2024-06-27T06:26:59
True,2021-03-11T13:37:39,cb1eaefc-5a23-44f0-ba74-8213af2f07b9,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",Whats the email address,TRIGGER,2021-05-21T10:03:45
True,2021-03-11T13:37:39,3946a53f-d342-4706-997d-02fc1a0a7cb8,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",I need your email address,TRIGGER,2021-05-21T10:03:45
True,2024-06-27T06:26:59,d2ccfa15-5127-421c-a988-b0e761f7b539,bt_submit_form,,seed,variant,"['bt_corrections', 'data_sync_addition']",i need to send forms in,TRIGGER,2024-06-27T06:26:59
True,2024-06-27T06:26:59,4cbdfbf2-9b52-46b4-bcef-4edbf614bcc7,bt_submit_form,,seed,variant,"['bt_corrections', 'data_sync_addition']",How do I submit the form?,TRIGGER,2024-06-27T06:26:59
True,2021-03-11T13:37:39,1aaa2a44-92f1-4d45-baf3-51fc29998740,bt_submit_form,,seed,variant,['nid_05-2021'],Can i upload or email the form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,fc7096c3-dac6-4c95-a970-1ee9666b650f,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",How do i email you,TRIGGER,2021-05-21T10:03:45
True,2021-03-11T13:37:39,223366e0-38fe-4b2c-916a-8a1a8b3f728b,bt_submit_form,,seed,variant,['nid_05-2021'],How do i upload a beneficiary nomination form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,5281b136-fa26-482c-be2e-731faedf2ab9,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",What is your email,TRIGGER,2021-05-21T10:03:45
True,2021-03-11T13:37:39,854cd629-2b9f-417f-a85f-a0de39f95503,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",Hi do you have a contact email address,TRIGGER,2021-05-21T10:03:45
True,2021-03-11T13:37:39,1d251e9a-ead7-4cfe-a1a1-d9ec0ba7a329,bt_submit_form,,seed,variant,['nid_05-2021'],Where do we send this form to?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,ea988920-2f87-4dd9-b615-2dfc96a0e8b2,bt_submit_form,,seed,variant,['nid_05-2021'],How do i submit the form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,e64708a6-7c12-411d-abe8-9ad424d1f582,bt_submit_form,,seed,variant,['nid_05-2021'],I need to send forms in,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,a301f9db-4f3a-4293-b614-44d52f4a84a9,bt_submit_form,,seed,variant,['nid_05-2021'],How do i upload this form?,TRIGGER,2021-03-11T13:37:39
True,2021-03-11T13:37:39,5e9fc5fc-e850-4fb2-9a35-b731132a363d,bt_submit_form,,seed,variant,"['nid_05-2021', 'merged_from_bt_contact_email']",Where do i email that to,TRIGGER,2021-05-21T10:03:45
True,2021-03-11T13:37:39,6d83fe36-332e-45bf-9301-c271f6a90333,bt_submit_form,,seed,variant,['nid_05-2021'],Where do i send the form to?,TRIGGER,2021-03-11T13:37:39
True,2024-06-27T06:26:59,efa2f53a-8281-4b45-9140-d16e0e306fdb,bt_submit_form,,seed,variant,"['bt_corrections', 'data_sync_addition']",where do we send this form to?,TRIGGER,2024-06-27T06:26:59
True,2021-11-02T00:30:04,b429700c-ddc2-4181-b373-5f62fe38e0a3,bt_comms_method,,seed,variant,,Where is the option to get my reports in the mail?,TRIGGER,2021-11-02T00:30:04
True,2021-11-01T09:25:32,76dbdde4-8004-4b0b-8397-a80fe8a65b4f,bt_comms_method,,seed,variant,,Can I get my correspondence via mail?,TRIGGER,2021-11-01T09:25:32
True,2021-11-02T00:30:04,3db44c35-5f65-4bae-a411-1b628d69befc,bt_comms_method,,seed,variant,,Is there a way I can get this by post instead?,TRIGGER,2021-11-02T00:30:04
True,2021-11-01T09:25:32,6fd2ea12-cd89-4380-804f-577f24588657,bt_comms_method,,seed,variant,,"I don't want to get emails anymore, can I get actual letters instead?",TRIGGER,2021-11-01T09:25:32
True,2021-11-01T09:03:27,ad9c4a1e-29c0-4fdf-bb6b-ba6fbc02f3c2,bt_comms_method,,seed,variant,,How do I change my communication preferences?,TRIGGER,2021-11-01T09:03:27
